Code-barres article;Ref;Prix ;Prix solde;Nom de l'article ;Brand;Type de l'article ;Taille;Couleur;March;Genre de l'article ;Groupe de l'article 
8683218016845;100002024;5700 da;;2W T-Der? Taban-W 2PR;FLOGART;ACC;STD;KAHVE;NULL;WOMEN;SHOES
8683879018387;100002850;300 da;;2W T-Der? Taban-W 2PR;FLOGART;ACC;STD;KAHVE;NULL;WOMEN;SHOES
8683218018924;100002876;750 da;;2W T-K?sl?k Taban-W 2PR;FLOGART;ACC;STD;VIZON;NULL;WOMEN;SHOES
8683218018917;100002877;750 da;;2W T-K?sl?k Taban-W 2PR;FLOGART;ACC;STD;VIZON;NULL;WOMEN;SHOES
8683218018856;100002878;450 da;;1M PAGOL MESH M 1FX;KINETIX;FOO;STD;P;LEISUR;MEN;SHOES
8683879018899;100002879;750 da;;1M PAGOL MESH M 1FX;KINETIX;ACC;STD;P;LEISUR;WOMEN;SHOES
8683218018900;100002880;750 da;;1M CE.00A469.M1FX;POLARIS;ACC;STD;M;COMFOR;WOMEN;SHOES
8683218018825;100002881;450 da;;2M OHAYLI 2FX;NINE WEST;FOO;STD;M;DRESS;MEN;SHOES
8683218019013;100002883;850 da;;2M ADANNI 2FX;NINE WEST;FOO;STD;M;DRESS;MEN;SHOES
8683879018875;100002887;650 da;;2M ADANNI 2FX;NINE WEST;FOO;STD;M;DRESS;MEN;SHOES
8683879018882;100002888;650 da;;2M ADANNI 2FX;NINE WEST;FOO;STD;M;DRESS;MEN;SHOES
8683218018931;100002889;850 da;;2M GENVIO 2FX;NINE WEST;FOO;STD;M;DRESS;MEN;SHOES
8683218018993;100002890;850 da;;2M GENVIO 2FX;NINE WEST;FOO;STD;M;DRESS;MEN;SHOES
8683879071436;100002891;650 da;;2M GENVIO 2FX;NINE WEST;FOO;STD;M;DRESS;MEN;SHOES
8682791326358;100662308;7450 da;;2M GENVIO 2FX;NINE WEST;FOO;STD;M;DRESS;MEN;SHOES
8682791326327;100662311;4850 da;;2M GENVIO 2FX;NINE WEST;FOO;STD;M;DRESS;MEN;SHOES
8682894092082;101029560;3750 da;;2M ALENE 2FX;NINE WEST;FOO;STD;M;DRESS;MEN;SHOES
8683121953329;101080517;8250 da;;2M ASEAL 2FX;NINE WEST;FOO;STD;M;DRESS;MEN;SHOES
8683121943795;101080658;5350 da;;2M PARH 2FX;NINE WEST;FOO;STD;M;DRESS;MEN;SHOES
8683121956665;101080866;5350 da;;2M PARH 2FX;NINE WEST;FOO;STD;M;DRESS;MEN;SHOES
8683121956740;101080866;5350 da;;2M PARH 2FX;NINE WEST;FOO;STD;M;DRESS;MEN;SHOES
8683121956788;101080866;5350 da;;2M PARH 2FX;NINE WEST;FOO;STD;M;DRESS;MEN;SHOES
8683217696321;101082004;4300 da;;2M PARH 2FX;NINE WEST;FOO;STD;M;DRESS;MEN;SHOES
8683217551293;101082046;4850 da;;2M VENDER WMN 2FX;LUMBERJACK;FOO;STD;M;ATHLET;MEN;SHOES
8683121770407;101084211;4450 da;;2M VELAR 2FX;LUMBERJACK;FOO;STD;M;ATHLET;MEN;SHOES
8683217179268;101086727;3250 da;;2M VELAR 2FX;LUMBERJACK;FOO;STD;M;ATHLET;MEN;SHOES
8683121804720;101087714;3850 da;;2M JAMIE 2FX;LUMBERJACK;FOO;STD;M;ATHLET;MEN;SHOES
8683121804805;101087714;3850 da;;2P 103673.Z2FX;LUMBERJACK;FOO;STD;I;ATHLET;MEN;SHOES
8683398551471;101097752;7450 da;;2M RUSH 2FX;LOTTO;FOO;STD;M;ATHLET;MEN;SHOES
8683398551563;101097752;7450 da;;2P 319610.Z 2FX;LOTTO;FOO;STD;P;ATHLET;MEN;SHOES
8683398551655;101097752;7450 da;;2P 319610.Z 2FX;LOTTO;FOO;STD;P;ATHLET;MEN;SHOES
8683398551747;101097752;7450 da;;2P 319610.Z 2FX;LOTTO;FOO;STD;P;ATHLET;MEN;SHOES
8683217379798;101098103;6450 da;;2M NELL 2FX;LUMBERJACK;FOO;STD;M;ATHLET;MEN;SHOES
8683217653591;101099307;3750 da;;2M NELL 2FX;LUMBERJACK;FOO;STD;M;ATHLET;MEN;SHOES
8683217653652;101099307;3750 da;;2M 21S-610 2FX;LUMBERJACK;FOO;STD;M;ATHLET;MEN;SHOES
8683217074280;101099618;2850 da;;2M LIMA 2FX;LUMBERJACK;FOO;STD;M;ATHLET;MEN;SHOES
8683217084821;101101388;2850 da;;2M FIGHT.P3FX;AVENGERS;FOO;STD;M;NULL;MEN;SHOES
8683217084920;101101388;2850 da;;2M TRV2098.Z2FX;AVENGERS;FOO;STD;M;NULL;MEN;SHOES
8683217303373;101103618;2450 da;;2M MAHONI 2FX;LUMBERJACK;FOO;STD;M;ATHLET;MEN;SHOES
8683217303458;101103618;2450 da;;2M SOMINO.Z 2FX;LUMBERJACK;FOO;STD;M;ATHLET;MEN;SHOES
8683217451753;101105602;3300 da;;2M ANGELA.Z 2FX;INCI;FOO;STD;M;COMFOR;MEN;SHOES
8683217204144;101107820;1900 da;;2M ANGELA.Z 2FX;INCI;FOO;STD;M;COMFOR;MEN;SHOES
8683217096305;101108994;4450 da;;2M ANGELA.Z 2FX;INCI;FOO;STD;M;COMFOR;MEN;SHOES
8683217108220;101109067;6850 da;;2M ANGELA.Z 2FX;INCI;FOO;STD;M;COMFOR;MEN;SHOES
8683217411252;101110104;1600 da;;2M ANGELA.Z 2FX;INCI;FOO;STD;M;COMFOR;MEN;SHOES
8683217411290;101110104;1600 da;;2M ANGELA.Z 2FX;INCI;FOO;STD;M;COMFOR;MEN;SHOES
8683217411337;101110104;1600 da;;2M FAYE 2FX;INCI;FOO;STD;M;COMFOR;MEN;SHOES
8683217386383;101111996;4700 da;;2M MUNGS 2FX;BUTIGO;FOO;STD;M;CASUAL;MEN;SHOES
8683217386444;101111996;4700 da;;2M HA?LEY 2FX;BUTIGO;FOO;STD;M;CASUAL;MEN;SHOES
8683217386482;101111996;4700 da;;2M HA?LEY 2FX;BUTIGO;FOO;STD;M;CASUAL;MEN;SHOES
8683217139248;101114422;2000 da;;2M HA?LEY 2FX;BUTIGO;FOO;STD;M;CASUAL;MEN;SHOES
8683217139385;101114422;2000 da;;2M KURAS 2FX;BUTIGO;FOO;STD;M;CASUAL;MEN;SHOES
8683398255331;101149651;2950 da;;2M KURAS 2FX;BUTIGO;FOO;STD;M;CASUAL;MEN;SHOES
8683398156980;101151400;3000 da;;2M KURAS 2FX;BUTIGO;FOO;STD;M;CASUAL;MEN;SHOES
8683398156676;101151433;1650 da;;2M NALE 2FX;BUTIGO;FOO;STD;M;CASUAL;MEN;SHOES
8683398156829;101151433;1650 da;;2M NALE 2FX;BUTIGO;FOO;STD;M;CASUAL;MEN;SHOES
8683398156874;101151433;1650 da;;2M NALE 2FX;BUTIGO;FOO;STD;M;CASUAL;MEN;SHOES
8683398397345;101151978;750 da;;2M NALE 2FX;BUTIGO;ACC;STD;M;CASUAL;WOMEN;SHOES
8683398082692;101152303;1250 da;;3M FICULLE G PS 3FX;LOTTO;FOO;STD;M;ATHLET;MEN;SHOES
8683398090130;101152541;500 da;;3M FICULLE G PS 3FX;LOTTO;FOO;STD;M;ATHLET;MEN;SHOES
30000000000001;1011527989;950 da;;3M JONES HI PU W 3FX;KINETIX;FOO;STD;A GRI;LEISUR;MEN;SHOES
30000000000002;1011527989;950 da;;3M JONES HI PU W 3FX;KINETIX;FOO;STD;A GRI;LEISUR;MEN;SHOES
8683398179392;101155966;4050 da;;3M JONES HI PU W 3FX;KINETIX;FOO;STD;A GRI;LEISUR;MEN;SHOES
8683398113211;101156646;1800 da;;3M JONES HI PU W 3FX;KINETIX;FOO;STD;A GRI;LEISUR;MEN;SHOES
8683398115475;101156762;1250 da;;3M JONES HI PU W 3FX;KINETIX;FOO;STD;A GRI;LEISUR;MEN;SHOES
8683398053814;101157226;1250 da;;3M JONES HI PU W 3FX;KINETIX;FOO;STD;A GRI;LEISUR;MEN;SHOES
8683398327564;101161318;5350 da;;3M JONES HI PU W 3FX;KINETIX;FOO;STD;A GRI;LEISUR;MEN;SHOES
8683398327632;101161319;5350 da;;3M JONES HI PU W 3FX;KINETIX;FOO;STD;A GRI;LEISUR;MEN;SHOES
8683398327694;101161319;5350 da;;3M JONES HI PU W 3FX;KINETIX;FOO;STD;A GRI;LEISUR;MEN;SHOES
8683398409857;101168455;3500 da;;3M JONES HI PU W 3FX;KINETIX;FOO;STD;A GRI;LEISUR;MEN;SHOES
8683398410112;101168456;5350 da;;3M JONES HI PU W 3FX;KINETIX;FOO;STD;A GRI;LEISUR;MEN;SHOES
8683398410136;101168456;5350 da;;3M JONES HI PU W 3FX;KINETIX;FOO;STD;A GRI;LEISUR;MEN;SHOES
8683398410150;101168456;5350 da;;3M JONES HI PU W 3FX;KINETIX;FOO;STD;A GRI;LEISUR;MEN;SHOES
8683398410174;101168456;5350 da;;3M JONES PU W 3FX;KINETIX;FOO;STD;BEYAZ;LEISUR;MEN;SHOES
8683398619874;101176048;1450 da;;3M JONES PU W 3FX;KINETIX;FOO;STD;BEYAZ;LEISUR;MEN;SHOES
8683512181362;101184496;4300 da;;3M JONES PU W 3FX;KINETIX;FOO;STD;BEYAZ;LEISUR;MEN;SHOES
8683512181485;101184496;4300 da;;3M JONES PU W 3FX;KINETIX;FOO;STD;BEYAZ;LEISUR;MEN;SHOES
8683512059074;101186801;3500 da;;3M LARGUS TX W 3FX;KINETIX;FOO;STD;BEYAZ;LEISUR;MEN;SHOES
8683398964202;101195612;1900 da;;3M LARGUS TX W 3FX;KINETIX;FOO;STD;BEYAZ;LEISUR;MEN;SHOES
8683512465882;101208275;1450 da;;3M LARGUS TX W 3FX;KINETIX;FOO;STD;BEYAZ;LEISUR;MEN;SHOES
8683512466001;101208275;1450 da;;3M LARGUS TX W 3FX;KINETIX;FOO;STD;BEYAZ;LEISUR;MEN;SHOES
8683512465929;101208275;1450 da;;3M LARGUS TX W 3FX;KINETIX;FOO;STD;BEYAZ;LEISUR;MEN;SHOES
8683512465608;101208280;1450 da;;3M LOUVE TX W 3FX;KINETIX;FOO;STD;M;LEISUR;MEN;SHOES
8683512465653;101208280;1450 da;;3M LOUVE TX W 3FX;KINETIX;FOO;STD;M;LEISUR;MEN;SHOES
8683512465752;101208280;1450 da;;3M LOUVE TX W 3FX;KINETIX;FOO;STD;M;LEISUR;MEN;SHOES
8683512465660;101208281;1450 da;;3M LOUVE TX W 3FX;KINETIX;FOO;STD;M;LEISUR;MEN;SHOES
8683879506754;101265930;5700 da;;3M LOUVE TX W 3FX;KINETIX;ACC;STD;M;LEISUR;WOMEN;SHOES
8683879506778;101265930;5700 da;;3M LUKAS PU W 3FX;KINETIX;ACC;STD;BEYAZ;LEISUR;WOMEN;SHOES
8683879099218;101270048;7950 da;;3M JAMES 3FX;LUMBERJACK;FOO;STD;M;ATHLET;MEN;SHOES
8683879099294;101270048;7950 da;;3M JAMES 3FX;LUMBERJACK;FOO;STD;M;ATHLET;MEN;SHOES
8683879099379;101270048;7950 da;;3M JAMES 3FX;LUMBERJACK;FOO;STD;M;ATHLET;MEN;SHOES
8683879099539;101270048;7950 da;;3M 162750.Z3FX;LUMBERJACK;FOO;STD;SIYAH;ATHLET;MEN;SHOES
8683879099454;101270048;7950 da;;3M MELANY TX W 3FX;LUMBERJACK;FOO;STD;SIYAH;ATHLET;MEN;SHOES
8683879099317;101270050;7850 da;;3M MELANY TX W 3FX;KINETIX;FOO;STD;SIYAH;LEISUR;MEN;SHOES
8683879099393;101270050;7850 da;;3M MELANY TX W 3FX;KINETIX;FOO;STD;SIYAH;LEISUR;MEN;SHOES
8683879099478;101270050;7850 da;;3M MELANY TX W 3FX;KINETIX;FOO;STD;SIYAH;LEISUR;MEN;SHOES
8683879099553;101270050;7850 da;;3M MELANY TX W 3FX;KINETIX;FOO;STD;SIYAH;LEISUR;MEN;SHOES
8683879099232;101270050;7850 da;;3M CLEME PT JR 3FX;KINETIX;FOO;STD;MINT;LEISUR;MEN;SHOES
8683879099560;101270051;7950 da;;3M CLEME TEX JR 3FX;U.S. POLO ASSN.;FOO;STD;M;LEISUR;MEN;SHOES
8683879099485;101270051;7950 da;;3M CLEME TEX JR 3FX;U.S. POLO ASSN.;FOO;STD;M;LEISUR;MEN;SHOES
8683879099324;101270051;7950 da;;3M CLEME TEX JR 3FX;U.S. POLO ASSN.;FOO;STD;M;LEISUR;MEN;SHOES
8683879099409;101270051;7950 da;;3M CLEME TEX JR 3FX;U.S. POLO ASSN.;FOO;STD;M;LEISUR;MEN;SHOES
8683879099621;101270060;7550 da;;3M CLEME TEX JR 3FX;U.S. POLO ASSN.;FOO;STD;M;LEISUR;MEN;SHOES
8683879099676;101270060;7550 da;;3M CLEME TEX JR 3FX;U.S. POLO ASSN.;FOO;STD;M;LEISUR;MEN;SHOES
8683879099720;101270060;7550 da;;3M CLEME TEX JR 3FX;U.S. POLO ASSN.;FOO;STD;M;LEISUR;MEN;SHOES
8683879099775;101270060;7550 da;;3M CLEME TEX JR 3FX;U.S. POLO ASSN.;FOO;STD;M;LEISUR;MEN;SHOES
8683879099829;101270060;7550 da;;3M CLEME TEX JR 3FX;U.S. POLO ASSN.;FOO;STD;M;LEISUR;MEN;SHOES
8683879139211;101276046;6450 da;;3M CLEME TEX JR 3FX;U.S. POLO ASSN.;FOO;STD;M;LEISUR;MEN;SHOES
8683879139310;101276046;6450 da;;3M CLEME TEX JR 3FX;U.S. POLO ASSN.;FOO;STD;M;LEISUR;MEN;SHOES
8683879139365;101276046;6450 da;;3M CLEME TEX JR 3FX;U.S. POLO ASSN.;FOO;STD;M;LEISUR;MEN;SHOES
8683879141399;101281311;6250 da;;3M CLEME TEX JR 3FX;U.S. POLO ASSN.;FOO;STD;M;LEISUR;MEN;SHOES
8683879141443;101281311;6250 da;;3M CLEME TEX JR 3FX;U.S. POLO ASSN.;FOO;STD;M;LEISUR;MEN;SHOES
8683879141498;101281311;6250 da;;3M CLEME TEX JR 3FX;U.S. POLO ASSN.;FOO;STD;M;LEISUR;MEN;SHOES
8683879141542;101281311;6250 da;;3M CLEME TEX JR 3FX;U.S. POLO ASSN.;FOO;STD;M;LEISUR;MEN;SHOES
8683879141351;101281312;6250 da;;3M CLEME TEX JR 3FX;U.S. POLO ASSN.;FOO;STD;M;LEISUR;MEN;SHOES
8683879141405;101281312;6250 da;;3M CLEME TEX JR 3FX;U.S. POLO ASSN.;FOO;STD;M;LEISUR;MEN;SHOES
8683879141450;101281312;6250 da;;3M CLEME TEX JR 3FX;U.S. POLO ASSN.;FOO;STD;M;LEISUR;MEN;SHOES
8683879141504;101281312;6250 da;;3M CLEME TEX JR 3FX;U.S. POLO ASSN.;FOO;STD;M;LEISUR;MEN;SHOES
8683879141559;101281312;6250 da;;3M MONSTER HI 3FX;U.S. POLO ASSN.;FOO;STD;BEYAZ;LEISUR;MEN;SHOES
8683879143058;101283905;4200 da;;3M MONSTER HI 3FX;LUMBERJACK;FOO;STD;BEYAZ;ATHLET;MEN;SHOES
8683879253573;101285356;7350 da;;3M MONSTER HI 3FX;LUMBERJACK;FOO;STD;BEYAZ;ATHLET;MEN;SHOES
8683879077421;101295857;5700 da;;3M MONSTER HI 3FX;LUMBERJACK;ACC;STD;BEYAZ;ATHLET;WOMEN;SHOES
8683879077445;101295857;5700 da;;3M MONSTER HI 3FX;LUMBERJACK;ACC;STD;BEYAZ;ATHLET;WOMEN;SHOES
