Références ;Nom de l'article ;Code-barres article;Brand;Type de l'article ;Taille;Couleur;Marché;Genre de l'article ;Groupe de l'article ;Prix;Prix remise
100002876;2W T-Der? Taban-W 2PR;8683218018924;FLOGART;ACC;STD;KAHVE;NULL;WOMEN;SHOES;5700 da;
100002876;2W T-Der? Taban-W 2PR;8683218018924;FLOGART;ACC;STD;KAHVE;NULL;WOMEN;SHOES;5700 da;
100002883;2W T-K?sl?k Taban-W 2PR;8683218019013;FLOGART;ACC;STD;VIZON;NULL;WOMEN;SHOES;750 da;
100002883;2W T-K?sl?k Taban-W 2PR;8683218019013;FLOGART;ACC;STD;VIZON;NULL;WOMEN;SHOES;750 da;
100662308;1M PAGOL MESH M 1FX;8682791326358;KINETIX;FOO;43;P;LEISUR;MEN;SHOES;450 da;
100662311;1M PAGOL MESH M 1FX;8682791326327;KINETIX;FOO;41;M;LEISUR;MEN;SHOES;750 da;
101029560;1M CE.00A469.M1FX;8682894092082;POLARIS;FOO;41;M;COMFOR;MEN;SLIPPE;750 da;
101080517;2M OHAYLI 2FX;8683121953329;NINE WEST;FOO;35;M;DRESS;WOMEN;SHOES;450 da;
101080866;2M ADANNI 2FX;8683121956665;NINE WEST;FOO;36;M;CASUAL;WOMEN;SHOES;850 da;
101080866;2M ADANNI 2FX;8683121956740;NINE WEST;FOO;38;M;CASUAL;WOMEN;SHOES;850 da;
101080866;2M ADANNI 2FX;8683121956788;NINE WEST;FOO;39;M;CASUAL;WOMEN;SHOES;850 da;
101081053;2M GENVIO 2FX;8683121969603;NINE WEST;FOO;36;M;CASUAL;WOMEN;SANDAL;850 da;
101081053;2M GENVIO 2FX;8683121969658;NINE WEST;FOO;37;M;CASUAL;WOMEN;SANDAL;850 da;
101081053;2M GENVIO 2FX;8683121969702;NINE WEST;FOO;38;M;CASUAL;WOMEN;SANDAL;850 da;
101081053;2M GENVIO 2FX;8683121969757;NINE WEST;FOO;39;M;CASUAL;WOMEN;SANDAL;850 da;
101081053;2M GENVIO 2FX;8683121969801;NINE WEST;FOO;40;M;CASUAL;WOMEN;SANDAL;850 da;
101082004;2M ALENE 2FX;8683217696321;NINE WEST;FOO;41;M;COMFOR;WOMEN;SLIPPE;3750 da;
101082046;2M ASEAL 2FX;8683217551293;NINE WEST;FOO;41;M;COMFOR;WOMEN;SLIPPE;8250 da;
101082916;2M PARH 2FX;8683217720385;NINE WEST;FOO;36;M;DRESS;WOMEN;SLIPPE;5350 da;
101082916;2M PARH 2FX;8683217720439;NINE WEST;FOO;37;M;DRESS;WOMEN;SLIPPE;5350 da;
101082916;2M PARH 2FX;8683217720484;NINE WEST;FOO;38;M;DRESS;WOMEN;SLIPPE;5350 da;
101082916;2M PARH 2FX;8683217720538;NINE WEST;FOO;39;M;DRESS;WOMEN;SLIPPE;5350 da;
101082916;2M PARH 2FX;8683217720583;NINE WEST;FOO;40;M;DRESS;WOMEN;SLIPPE;5350 da;
101084211;2M VENDER WMN 2FX;8683121770407;LUMBERJACK;FOO;36;M;ATHLET;WOMEN;SHOES;4850 da;
101087714;2M VELAR 2FX;8683121804720;LUMBERJACK;FOO;43;M;ATHLET;MEN;SHOES;4450 da;
101087714;2M VELAR 2FX;8683121804805;LUMBERJACK;FOO;44;M;ATHLET;MEN;SHOES;4450 da;
101101388;2M JAMIE 2FX;8683217084821;LUMBERJACK;FOO;40;M;ATHLET;MEN;SHOES;3850 da;
101105602;2P 103673.Z2FX;8683217451753;POLARIS;FOO;37;I;COMFOR;WOMEN;SHOES;3850 da;
101108994;2M RUSH 2FX;8683217096305;LOTTO;FOO;43;M;ATHLET;MEN;SHOES;7450 da;
101110104;2P 319610.Z 2FX;8683217411252;POLARIS;FOO;37;P;CASUAL;WOMEN;SHOES;7450 da;
101110104;2P 319610.Z 2FX;8683217411337;POLARIS;FOO;39;P;CASUAL;WOMEN;SHOES;7450 da;
101110104;2P 319610.Z 2FX;8683217411290;POLARIS;FOO;38;P;CASUAL;WOMEN;SHOES;7450 da;
101114422;2M NELL 2FX;8683217139248;LUMBERJACK;FOO;38;M;CASUAL;WOMEN;SHOES;6450 da;
101114422;2M NELL 2FX;8683217139385;LUMBERJACK;FOO;40;M;CASUAL;WOMEN;SHOES;6450 da;
101149651;2M 21S-610 2FX;8683398255331;BUTIGO;FOO;36;M;DRESS;WOMEN;SLIPPE;3750 da;
101151400;2M LIMA 2FX;8683398156980;LUMBERJACK;FOO;38;M;CASUAL;WOMEN;SANDAL;2850 da;
1011527989;2M FIGHT.P3FX;30000000000001;AVENGERS;FOO;25;M;NULL;KIDS;SLIPPE;2850 da;
101155966;2M TRV2098.Z2FX;8683398179392;TRAVEL SOFT;FOO;37;M;COMFOR;WOMEN;SANDAL;2850 da;
101156646;2M MAHONI 2FX;8683398113211;LUMBERJACK;FOO;30;M;NULL;KIDS;SANDAL;2450 da;
101159135;2M SOMINO.Z 2FX;8683398312904;INCI;FOO;38;M;DRESS;WOMEN;SLIPPE;2450 da;
101161318;2M ANGELA.Z 2FX;8683398327564;INCI;FOO;36;M;COMFOR;WOMEN;SANDAL;3300 da;
